,Quarter,Tm,Detail,ATL,DAL
0,1.0,Falcons,Allama Matthews 3 yard pass from David Archer (Mick Luckhurst kick),7,0
1,2.0,Falcons,Mick Luckhurst 38 yard field goal,10,0
2,2.0,Cowboys,Tony Hill 35 yard pass from Danny White (Rafael Septien kick),10,7
3,2.0,Cowboys,Tony Dorsett 60 yard rush (Rafael Septien kick),10,14
4,2.0,Cowboys,Rafael Septien 28 yard field goal,10,17
5,4.0,Cowboys,Danny White 1 yard rush (Rafael Septien kick),10,24
