,Quarter,Tm,Detail,RCH,RAC
0,3.0,Legion,Hank Gillo 37 yard field goal,0,3
1,3.0,Legion,Hank Gillo 20 yard field goal,0,6
2,4.0,Legion,Hank Gillo 32 yard field goal,0,9
