,Quarter,Tm,Detail,PHI,NYG
0,1.0,Eagles,Tom Dempsey 30 yard field goal,3,0
1,1.0,Giants,Vince Clements 2 yard rush (Pete Gogolak kick),3,7
2,1.0,Eagles,Tom Dempsey 18 yard field goal,6,7
3,2.0,Giants,Pete Gogolak 45 yard field goal,6,10
4,3.0,Eagles,Tom Dempsey 37 yard field goal,9,10
5,3.0,Eagles,Tom Sullivan 8 yard rush (Tom Dempsey kick),16,10
6,4.0,Giants,Ron Johnson 1 yard rush (Pete Gogolak kick),16,17
7,4.0,Giants,Pete Gogolak 14 yard field goal,16,20
8,4.0,Eagles,Harold Carmichael 16 yard pass from Roman Gabriel (Tom Dempsey kick),23,20
9,4.0,Giants,Pete Gogolak 14 yard field goal,23,23
