,Quarter,Time,Tm,Detail,NYJ,MIA
0,1.0,8:58,Jets,Leon Washington 18 yard rush (Mike Nugent kick),7,0
1,1.0,3:15,Dolphins,Jay Feely 53 yard field goal,7,3
2,2.0,11:56,Dolphins,Jay Feely 44 yard field goal,7,6
3,2.0,10:07,Jets,Mike Nugent 29 yard field goal,10,6
4,2.0,6:41,Dolphins,Michael Lehan 43 yard defensive fumble return (Jay Feely kick),10,13
5,2.0,2:39,Jets,Brad Smith 19 yard pass from Kellen Clemens (Mike Nugent kick),17,13
6,2.0,0:10,Jets,Mike Nugent 40 yard field goal,20,13
7,3.0,5:54,Jets,Mike Nugent 35 yard field goal,23,13
8,4.0,14:21,Jets,Thomas Jones 1 yard rush (Mike Nugent kick),30,13
9,4.0,11:48,Jets,Mike Nugent 26 yard field goal,33,13
10,4.0,1:52,Jets,Leon Washington 12 yard rush (Mike Nugent kick),40,13
