,Quarter,Time,Tm,Detail,MIN,NYG
0,1.0,,Vikings,Fuad Reveiz 44 yard field goal,3,0
1,2.0,,Giants,David Treadwell 22 yard field goal,3,3
2,2.0,,Vikings,Terry Allen 1 yard rush (Fuad Reveiz kick),10,3
3,2.0,,Giants,Dave Brown 3 yard rush (David Treadwell kick),10,10
4,3.0,,Vikings,Anthony Parker 44 yard interception return (Fuad Reveiz kick),17,10
5,3.0,,Vikings,Cris Carter 20 yard pass from Warren Moon (Fuad Reveiz kick),24,10
6,4.0,,Vikings,Fuad Reveiz 24 yard field goal,27,10
