,Quarter,Tm,Detail,CHI,STL
0,1.0,Cardinals,Johnny Roland 3 yard rush (Jim Bakken kick),0,7
1,1.0,Cardinals,Johnny Roland 3 yard rush (Jim Bakken kick),0,14
2,2.0,Bears,Rudy Bukich 1 yard rush (Roger LeClerc kick),7,14
3,3.0,Bears,Roger LeClerc 16 yard field goal,10,14
4,4.0,Cardinals,Jim Bakken 40 yard field goal,10,17
5,4.0,Cardinals,Larry Wilson 29 yard interception return (Jim Bakken kick),10,24
6,4.0,Bears,Gale Sayers 80 yard pass from Rudy Bukich (Roger LeClerc kick),17,24
