,Quarter,Tm,Detail,NYY,GNB
0,1.0,Yanks,Chet Adams 15 yard field goal,3,0
1,1.0,Packers,Ted Fritsch 27 yard field goal,3,3
2,2.0,Yanks,Sherman Howard 25 yard pass from George Ratterman (Chet Adams kick),10,3
3,2.0,Yanks,Zollie Toth 7 yard rush (Chet Adams kick),17,3
4,3.0,Yanks,Sherman Howard 60 yard rush (Chet Adams kick),24,3
5,3.0,Packers,Billy Grimes 61 yard rush (Ted Fritsch kick),24,10
6,3.0,Packers,Dan Orlich 15 yard fumble return (Ted Fritsch kick),24,17
7,3.0,Yanks,Dan Edwards 45 yard pass from George Ratterman,30,17
8,3.0,Packers,Tony Canadeo 2 yard rush (Ted Fritsch kick),30,24
9,3.0,Yanks,George Taliaferro 37 yard pass from George Ratterman (Chet Adams kick),37,24
10,4.0,Packers,Paul Christman 1 yard rush (Ted Fritsch kick),37,31
11,4.0,Yanks,George Taliaferro 24 yard rush (Chet Adams kick),44,31
