,Quarter,Time,Tm,Detail,MIN,DAL
0,1.0,10:01,Cowboys,Tim Seder 37 yard field goal,0,3
1,2.0,12:27,Cowboys,Tim Seder 43 yard field goal,0,6
2,2.0,8:10,Vikings,Gary Anderson 49 yard field goal,3,6
3,2.0,1:52,Vikings,Robert Smith 15 yard rush (Gary Anderson kick),10,6
4,2.0,0:00,Cowboys,Tim Seder 36 yard field goal,10,9
5,3.0,12:25,Vikings,Randy Moss 7 yard pass from Daunte Culpepper (Gary Anderson kick),17,9
6,3.0,6:11,Vikings,Gary Anderson 29 yard field goal,20,9
7,3.0,0:18,Vikings,Randy Moss 36 yard pass from Daunte Culpepper (Gary Anderson kick),27,9
8,4.0,2:32,Cowboys,David LaFleur 6 yard pass from Troy Aikman,27,15
