,Quarter,Tm,Detail,STL,PHI
0,1.0,Cardinals,Jim Hart 1 yard rush (Jim Bakken kick),7,0
1,2.0,Eagles,Fred Hill 31 yard pass from Norm Snead (Sam Baker kick),7,7
2,2.0,Cardinals,Willis Crenshaw 14 yard rush (Jim Bakken kick),14,7
3,2.0,Eagles,Sam Baker 12 yard field goal,14,10
4,3.0,Eagles,Tom Woodeshick 12 yard rush (Sam Baker kick),14,17
5,3.0,Cardinals,Jim Hart 1 yard rush (Jim Bakken kick),21,17
6,3.0,Cardinals,Roy Shivers 40 yard pass from Jim Hart (Jim Bakken kick),28,17
7,4.0,Cardinals,Roy Shivers 1 yard rush (Jim Bakken kick),35,17
8,4.0,Cardinals,Jim Bakken 47 yard field goal,38,17
9,4.0,Cardinals,Roy Shivers 4 yard rush (Jim Bakken kick),45,17
