,Quarter,Time,Tm,Detail,MIA,NYJ
0,1.0,11:32,Jets,Robby Anderson 40 yard pass from Bryce Petty (Nick Folk kick),0,7
1,2.0,10:57,Dolphins,Dion Sims 1 yard pass from Matt Moore (Andrew Franks kick failed),6,7
2,2.0,1:58,Dolphins,Kenny Stills 52 yard pass from Matt Moore (Andrew Franks kick),13,7
3,2.0,0:18,Jets,Nick Folk 48 yard field goal,13,10
4,3.0,10:30,Dolphins,Walt Aikens 11 yard blocked punt return (Andrew Franks kick),20,10
5,3.0,7:43,Dolphins,Dion Sims 1 yard pass from Matt Moore (Andrew Franks kick),27,10
6,3.0,6:26,Dolphins,Jarvis Landry 66 yard pass from Matt Moore (Andrew Franks kick),34,10
7,4.0,5:43,Jets,Nick Folk 36 yard field goal,34,13
