,Quarter,Tm,Detail,CHI,NYG
0,2.0,Giants,Ken Strong 4 yard rush (Ken Strong kick),0,7
1,3.0,Giants,"Safety, Corbett tackled in end zone",0,9
2,4.0,Bears,Beattie Feathers 12 yard rush (Jack Manders kick),7,9
3,4.0,Bears,Jack Manders 24 yard field goal,10,9
