,Quarter,Tm,Detail,NYG,BOS
0,1.0,Yanks/Tigers,John Grigas 1 yard rush (Augie Lio kick),0,7
1,2.0,Giants,Frank Liebel 14 yard pass from Arnie Herber (Ken Strong kick),7,7
2,2.0,Yanks/Tigers,Augie Lio 27 yard field goal,7,10
3,3.0,Giants,Ken Strong 24 yard field goal,10,10
4,4.0,Yanks/Tigers,Augie Lio 34 yard field goal,10,13
5,4.0,Giants,Ken Strong 20 yard field goal,13,13
