,Quarter,Tm,Detail,PIT,CRD
0,1.0,Cardinals,John David Crow 2 yard rush (Bobby Joe Conrad kick),0,7
1,1.0,Cardinals,King Hill 24 yard rush (Bobby Joe Conrad kick),0,14
2,2.0,Steelers,Tom Barnett 6 yard rush (Bobby Layne kick),7,14
3,2.0,Steelers,Bobby Layne 35 yard field goal,10,14
4,2.0,Cardinals,Billy Stacy 59 yard punt return (Bobby Joe Conrad kick),10,21
5,2.0,Cardinals,Joe Childress 52 yard pass from Bobby Joe Conrad (Bobby Joe Conrad kick),10,28
6,2.0,Cardinals,Ken Hall 84 yard punt return (Bobby Joe Conrad kick),10,35
7,3.0,Steelers,Buddy Dial 9 yard pass from Bobby Layne (Bobby Layne kick),17,35
8,4.0,Cardinals,Bobby Joe Conrad 10 yard field goal,17,38
9,4.0,Steelers,Tom Barnett 13 yard pass from Len Dawson (Bobby Layne kick),24,38
10,4.0,Cardinals,Bobby Joe Conrad 5 yard pass from King Hill (Bobby Joe Conrad kick),24,45
