,Quarter,Time,Tm,Detail,TEN,KAN
0,1.0,11:33,Titans,Greg Joseph 30 yard field goal,3,0
1,1.0,5:56,Titans,Derrick Henry 4 yard rush (Greg Joseph kick),10,0
2,1.0,0:51,Chiefs,Tyreek Hill 8 yard pass from Patrick Mahomes (Harrison Butker kick),10,7
3,2.0,6:43,Titans,Dennis Kelly 1 yard pass from Ryan Tannehill (Greg Joseph kick),17,7
4,2.0,4:07,Chiefs,Tyreek Hill 20 yard pass from Patrick Mahomes (Harrison Butker kick),17,14
5,2.0,0:23,Chiefs,Patrick Mahomes 27 yard rush (Harrison Butker kick),17,21
6,4.0,14:54,Chiefs,Damien Williams 3 yard rush (Harrison Butker kick),17,28
7,4.0,7:44,Chiefs,Sammy Watkins 60 yard pass from Patrick Mahomes (Harrison Butker kick),17,35
8,4.0,4:24,Titans,Anthony Firkser 22 yard pass from Ryan Tannehill (Greg Joseph kick),24,35
