,Quarter,Time,Tm,Detail,CAR,MIA
0,1.0,3:54,Dolphins,Olindo Mare 36 yard field goal,0,3
1,1.0,0:19,Panthers,John Kasay 27 yard field goal,3,3
2,2.0,11:52,Dolphins,Patrick Surtain 29 yard interception return (Olindo Mare kick),3,10
3,2.0,6:56,Panthers,John Kasay 20 yard field goal,6,10
4,2.0,1:01,Dolphins,Olindo Mare 45 yard field goal,6,13
5,4.0,14:55,Dolphins,Rob Konrad 5 yard pass from Jay Fiedler (Olindo Mare kick),6,20
6,4.0,6:03,Dolphins,Olindo Mare 29 yard field goal,6,23
