,Quarter,Tm,Detail,DET,DAL
0,1.0,Cowboys,Efren Herrera 21 yard field goal,0,3
1,2.0,Cowboys,Efren Herrera 45 yard field goal,0,6
2,2.0,Cowboys,Billy Joe DuPree 14 yard pass from Roger Staubach (Efren Herrera kick),0,13
3,2.0,Cowboys,Scott Laidlaw 18 yard pass from Roger Staubach (Efren Herrera kick),0,20
4,2.0,Cowboys,Efren Herrera 30 yard field goal,0,23
5,3.0,Cowboys,Jay Saldi 1 yard pass from Roger Staubach (Efren Herrera kick),0,30
6,4.0,Cowboys,Larry Brinson 20 yard rush (Efren Herrera kick),0,37
