,Quarter,Time,Tm,Detail,BAL,WAS
0,1.0,2:13,Ravens,Mark Ingram 1 yard rush (Justin Tucker kick),7,0
1,2.0,10:05,Ravens,Lamar Jackson 50 yard rush (Justin Tucker kick),14,0
2,2.0,4:46,Washington,Antonio Gibson 2 yard rush (Dustin Hopkins kick),14,7
3,2.0,1:57,Ravens,Mark Andrews 25 yard pass from Lamar Jackson (Justin Tucker kick),21,7
4,2.0,0:05,Washington,Dustin Hopkins 43 yard field goal,21,10
5,3.0,8:47,Ravens,Mark Andrews 22 yard pass from Lamar Jackson (Justin Tucker kick),28,10
6,4.0,5:21,Ravens,Justin Tucker 46 yard field goal,31,10
7,4.0,2:09,Washington,Dwayne Haskins 1 yard rush (Dustin Hopkins kick),31,17
