,Quarter,Tm,Detail,STL,WAS
0,1.0,Redskins,Art Monk 38 yard pass from Joe Theismann (Mark Moseley kick),0,7
1,1.0,Redskins,Virgil Seay 51 yard pass from Joe Theismann (Mark Moseley kick),0,14
2,2.0,Redskins,John Riggins 1 yard rush (Mark Moseley kick),0,21
3,3.0,Redskins,John Riggins 1 yard rush (Mark Moseley kick),0,28
4,4.0,Cardinals,Roy Green 11 yard pass from Jim Hart (Neil O'Donoghue kick),7,28
5,4.0,Redskins,Art Monk 10 yard pass from Joe Theismann (Mark Moseley kick),7,35
6,4.0,Cardinals,Pat Tilley 14 yard pass from Jim Hart (Neil O'Donoghue kick),14,35
7,4.0,Cardinals,Pat Tilley 14 yard pass from Jim Hart (Neil O'Donoghue kick),21,35
8,4.0,Redskins,John Riggins 4 yard rush (Mark Moseley kick),21,42
