,Quarter,Tm,Detail,PHO,IND
0,1.0,Cardinals,Johnny Johnson 10 yard rush (Greg Davis kick),7,0
1,2.0,Cardinals,Greg Davis 28 yard field goal,10,0
2,2.0,Colts,Dean Biasucci 26 yard field goal,10,3
3,3.0,Colts,Anthony Johnson 57 yard pass from Jeff George (Dean Biasucci kick),10,10
4,4.0,Colts,Dean Biasucci 28 yard field goal,10,13
5,4.0,Cardinals,Greg Davis 48 yard field goal,13,13
6,4.0,Colts,Dean Biasucci 42 yard field goal,13,16
