,Quarter,Time,Tm,Detail,TAM,DAL
0,1.0,12:08,Buccaneers,Cairo Santos 37 yard field goal,3,0
1,1.0,7:07,Cowboys,Dak Prescott 7 yard rush (Brett Maher kick),3,7
2,1.0,1:41,Cowboys,Jaylon Smith 69 yard fumble return (Brett Maher kick),3,14
3,2.0,9:13,Buccaneers,Cairo Santos 45 yard field goal,6,14
4,2.0,1:43,Cowboys,Brett Maher 59 yard field goal,6,17
5,2.0,0:20,Buccaneers,Jacquizz Rodgers 2 yard rush (Cairo Santos kick),13,17
6,3.0,3:41,Cowboys,Brett Maher 20 yard field goal,13,20
7,3.0,2:23,Cowboys,Michael Gallup 4 yard pass from Dak Prescott (Brett Maher kick),13,27
8,4.0,2:05,Buccaneers,Mike Evans 7 yard pass from Jameis Winston (Cairo Santos kick),20,27
