,Quarter,Tm,Detail,BAL,CHI
0,1.0,Colts,Bert Rechichar 26 yard field goal,3,0
1,1.0,Bears,George Blanda 36 yard field goal,3,3
2,2.0,Bears,Rick Casares 81 yard rush (George Blanda kick),3,10
3,2.0,Bears,Gene Schroeder 51 yard pass from George Blanda (George Blanda kick),3,17
4,3.0,Bears,Bobby Watkins 2 yard rush (George Blanda kick),3,24
5,3.0,Bears,Rick Casares 2 yard rush (George Blanda kick),3,31
6,4.0,Colts,Alan Ameche 2 yard rush (Bert Rechichar kick),10,31
7,4.0,Bears,Bill McColl 37 yard pass from Bob Williams (George Blanda kick),10,38
