,Quarter,Tm,Detail,PIT,DAL
0,1.0,Cowboys,Craig Baynham 5 yard pass from Don Meredith (Mike Clark kick),0,7
1,2.0,Cowboys,Bob Hayes 90 yard punt return (Mike Clark kick),0,14
2,2.0,Cowboys,Bob Hayes 53 yard pass from Don Meredith (Mike Clark kick),0,21
3,2.0,Steelers,John Hilton 37 yard pass from Dick Shiner (Booth Lusteg kick),7,21
4,4.0,Cowboys,Lance Rentzel 65 yard pass from Don Meredith (Mike Clark kick),7,28
