,Quarter,Tm,Detail,DET,DEN
0,1.0,Broncos,Steve Watson 95 yard pass from Craig Morton (Fred Steinfort kick),0,7
1,1.0,Broncos,Fred Steinfort 24 yard field goal,0,10
2,1.0,Lions,Billy Sims 48 yard rush (Eddie Murray kick),7,10
3,2.0,Lions,Billy Sims 1 yard rush (Eddie Murray kick),14,10
4,2.0,Broncos,Steve Watson 40 yard pass from Craig Morton (Fred Steinfort kick),14,17
5,2.0,Lions,Alvin Hall 60 yard interception return (Eddie Murray kick),21,17
6,3.0,Broncos,Fred Steinfort 24 yard field goal,21,20
7,4.0,Broncos,Rick Parros 15 yard pass from Craig Morton (Fred Steinfort kick),21,27
