,Quarter,Time,Tm,Detail,OAK,PHI
0,1.0,2:51,Eagles,Jay Ajayi 17 yard pass from Nick Foles (Jake Elliott kick),0,7
1,2.0,12:36,Raiders,Amari Cooper 63 yard pass from Derek Carr (Giorgio Tavecchio kick),7,7
2,3.0,10:50,Raiders,Giorgio Tavecchio 25 yard field goal,10,7
3,3.0,2:13,Eagles,Jake Elliott 35 yard field goal,10,10
4,4.0,0:22,Eagles,Jake Elliott 48 yard field goal,10,13
5,4.0,0:00,Eagles,Derek Barnett 23 yard fumble return,10,19
