,Quarter,Time,Tm,Detail,NOR,OAK
0,2.0,,Raiders,Harvey Williams 1 yard rush (Cole Ford kick),0,7
1,2.0,,Raiders,Cole Ford 43 yard field goal,0,10
2,2.0,,Saints,Doug Brien 48 yard field goal,3,10
3,4.0,3:39,Saints,Ray Zellars 1 yard rush (Doug Brien kick),10,10
4,4.0,3:39,Saints,Doug Brien 44 yard field goal,13,10
