,Quarter,Tm,Detail,ATL,NOR
0,1.0,Saints,Morten Andersen 40 yard field goal,0,3
1,2.0,Falcons,Norm Johnson 19 yard field goal,3,3
2,2.0,Falcons,Andre Rison 5 yard pass from Bobby Hebert (Norm Johnson kick),10,3
3,2.0,Falcons,Michael Haynes 9 yard pass from Bobby Hebert (Norm Johnson kick),17,3
4,2.0,Saints,Morten Andersen 27 yard field goal,17,6
5,3.0,Falcons,Norm Johnson 32 yard field goal,20,6
6,3.0,Saints,Quinn Early 23 yard pass from Wade Wilson (Morten Andersen kick),20,13
7,4.0,Falcons,Norm Johnson 38 yard field goal,23,13
8,4.0,Falcons,Norm Johnson 30 yard field goal,26,13
9,4.0,Saints,"Safety, Alexander ran out of end zone",26,15
