,Quarter,Tm,Detail,PIT,NYG
0,1.0,Steelers,John Lucente 3 yard rush (John Naioti kick),7,0
1,2.0,Steelers,Buss Warren 1 yard rush (John Naioti kick),14,0
2,2.0,Steelers,Ted Doyle 50 yard interception return (John Naioti kick),21,0
3,3.0,Giants,Howie Livingston 15 yard pass from Arnie Herber (Ken Strong kick),21,7
