,Quarter,Time,Tm,Detail,KAN,NYG
0,1.0,,Giants,Percy Ellsworth 43 yard interception return (Brad Daluiso kick),0,7
1,1.0,,Giants,Amani Toomer 12 yard pass from Kent Graham (Brad Daluiso kick),0,14
2,2.0,,Giants,Gary Brown 1 yard rush (Brad Daluiso kick),0,21
3,3.0,,Giants,Kent Graham 6 yard rush (Brad Daluiso kick),0,28
4,3.0,,Chiefs,Tony Gonzalez 4 yard pass from Elvis Grbac (Pete Stoyanovich kick),7,28
