,Quarter,Tm,Detail,BUF,CHI
0,1.0,Bears,Emery Moorehead 4 yard pass from Jim McMahon (Kevin Butler kick),0,7
1,1.0,Bills,Scott Norwood 28 yard field goal,3,7
2,2.0,Bears,Ron Morris 63 yard pass from Jim McMahon (Kevin Butler kick),3,14
3,2.0,Bears,Kevin Butler 22 yard field goal,3,17
4,2.0,Bears,Dennis Gentry 58 yard rush (Kevin Butler kick),3,24
