,Quarter,Time,Tm,Detail,NYJ,IND
0,1.0,,Jets,Nick Lowery 42 yard field goal,3,0
1,1.0,,Colts,Cary Blanchard 46 yard field goal,3,3
2,2.0,,Colts,Jim Harbaugh 4 yard rush (Cary Blanchard kick),3,10
3,2.0,,Colts,Eugene Daniel 97 yard interception return (Cary Blanchard kick),3,17
4,4.0,,Jets,Johnny Mitchell 13 yard pass from Bubby Brister (Nick Lowery kick),10,17
