,Quarter,Time,Tm,Detail,BAL,TEN
0,1.0,6:53,Ravens,Matt Stover 44 yard field goal,3,0
1,1.0,1:46,Titans,Lorenzo Neal 1 yard rush (Al Del Greco kick),3,7
2,2.0,8:33,Ravens,Matt Stover 46 yard field goal,6,7
3,3.0,10:42,Ravens,Matt Stover 50 yard field goal,9,7
4,3.0,7:23,Titans,Yancey Thigpen 27 yard pass from Neil O'Donnell (Al Del Greco kick),9,14
5,3.0,3:33,Ravens,"Safety, Lewis tackled Thomas in end zone",11,14
