,Quarter,Tm,Detail,MIN,GNB
0,1.0,Vikings,Fred Cox 20 yard field goal,3,0
1,2.0,Packers,Chester Marcol 19 yard field goal,3,3
2,2.0,Packers,John Brockington 5 yard rush (Chester Marcol kick),3,10
3,2.0,Vikings,Chuck Foreman 18 yard rush (Fred Cox kick),10,10
4,3.0,Vikings,Chuck Foreman 1 yard rush (Fred Cox kick),17,10
5,3.0,Vikings,Chuck Foreman 3 yard rush,23,10
6,4.0,Vikings,Fred Cox 21 yard field goal,26,10
7,4.0,Packers,Steve Odom 18 yard rush (Chester Marcol kick),26,17
8,4.0,Vikings,Amos Martin 15 yard special teams fumble return,32,17
