,Quarter,Time,Tm,Detail,SEA,GNB
0,1.0,10:42,Packers,Davante Adams 20 yard pass from Aaron Rodgers (Mason Crosby kick),0,7
1,1.0,0:33,Seahawks,Jason Myers 45 yard field goal,3,7
2,2.0,9:55,Packers,Aaron Jones 1 yard rush (Mason Crosby kick),3,14
3,2.0,1:33,Packers,Aaron Jones 1 yard rush (Mason Crosby kick),3,21
4,3.0,9:49,Seahawks,Marshawn Lynch 1 yard rush (Jason Myers kick),10,21
5,3.0,7:21,Packers,Davante Adams 40 yard pass from Aaron Rodgers (Mason Crosby kick),10,28
6,3.0,0:47,Seahawks,Tyler Lockett 7 yard pass from Russell Wilson (Jason Myers kick),17,28
7,4.0,9:37,Seahawks,Marshawn Lynch 1 yard rush (pass failed),23,28
