,Quarter,Time,Tm,Detail,DEN,KAN
0,1.0,,Broncos,Bubby Brister 38 yard rush (Jason Elam kick),7,0
1,1.0,,Broncos,Terrell Davis 41 yard rush (Jason Elam kick),14,0
2,2.0,,Chiefs,Kimble Anders 3 yard pass from Rich Gannon (Pete Stoyanovich kick),14,7
3,2.0,,Broncos,Jason Elam 42 yard field goal,17,7
4,2.0,0:14,Broncos,Jason Elam 46 yard field goal,20,7
5,3.0,0:14,Broncos,Jason Elam 35 yard field goal,23,7
6,4.0,0:14,Broncos,Derek Loville 2 yard rush (Jason Elam kick),30,7
