,Quarter,Tm,Detail,DAY,AKR
0,1.0,Triangles,Fay Abbott unknown yard field goal,3,0
1,3.0,Pros,Red Daum unknown yard pass from Fritz Pollard (Russ Blailock kick),3,7
2,4.0,Pros,James Robertson unknown yard rush (Russ Blailock kick),3,14
3,4.0,Pros,Russ Blailock unknown yard field goal,3,17
