,Quarter,Time,Tm,Detail,DAL,CIN
0,1.0,,Cowboys,Richie Cunningham 23 yard field goal,3,0
1,1.0,,Cowboys,Sherman Williams 3 yard rush (Richie Cunningham kick),10,0
2,2.0,,Bengals,Doug Pelfrey 42 yard field goal,10,3
3,2.0,,Bengals,Eric Bieniemy 20 yard rush (Doug Pelfrey kick),10,10
4,2.0,,Bengals,Darnay Scott 48 yard pass from Boomer Esiason (Doug Pelfrey kick),10,17
5,3.0,,Bengals,Corey Dillon 14 yard rush (Doug Pelfrey kick),10,24
6,3.0,,Bengals,David Dunn 32 yard pass from Boomer Esiason (Doug Pelfrey kick),10,31
7,4.0,,Cowboys,David LaFleur 13 yard pass from Troy Aikman (Richie Cunningham kick),17,31
8,4.0,,Cowboys,David LaFleur 12 yard pass from Troy Aikman (Richie Cunningham kick),24,31
