,Quarter,Time,Tm,Detail,SEA,CAR
0,4.0,12:18,Panthers,John Kasay 53 yard field goal,0,3
1,4.0,8:23,Seahawks,Josh Brown 23 yard field goal,3,3
2,4.0,2:59,Panthers,John Kasay 37 yard field goal,3,6
3,4.0,1:17,Panthers,DeAngelo Williams 35 yard rush (John Kasay kick),3,13
4,4.0,0:01,Seahawks,Deion Branch 15 yard pass from Matt Hasselbeck (Josh Brown kick),10,13
