,Quarter,Time,Tm,Detail,NWE,KAN
0,1.0,,Chiefs,Lin Elliott 27 yard field goal,0,3
1,1.0,,Patriots,Dave Meggett 16 yard rush (Matt Bahr kick),7,3
2,2.0,,Chiefs,Steve Bono 2 yard rush (Lin Elliott kick),7,10
3,2.0,,Patriots,Matt Bahr 29 yard field goal,10,10
4,2.0,,Chiefs,Willie Davis 18 yard pass from Steve Bono (Lin Elliott kick),10,17
5,2.0,,Chiefs,Tamarick Vanover 26 yard pass from Steve Bono (Lin Elliott kick),10,24
6,3.0,,Patriots,Matt Bahr 20 yard field goal,13,24
7,3.0,,Patriots,Vincent Brisby 22 yard pass from Drew Bledsoe (run failed),19,24
8,4.0,,Chiefs,Greg Hill 9 yard rush (Lin Elliott kick),19,31
9,4.0,,Patriots,Will Moore 6 yard pass from Drew Bledsoe (Matt Bahr kick),26,31
