,Quarter,Time,Tm,Detail,PIT,LAC
0,1.0,11:01,Steelers,Devin Bush Jr. 9 yard fumble return (Chris Boswell kick),7,0
1,1.0,4:35,Steelers,James Conner 12 yard rush (Chris Boswell kick),14,0
2,2.0,6:42,Steelers,James Conner 26 yard pass from Devlin Hodges (Chris Boswell kick),21,0
3,3.0,8:15,Steelers,Chris Boswell 20 yard field goal,24,0
4,4.0,14:04,Chargers,Chase McLaughlin 38 yard field goal,24,3
5,4.0,7:19,Chargers,Hunter Henry 5 yard pass from Philip Rivers (Chase McLaughlin kick),24,10
6,4.0,1:34,Chargers,Hunter Henry 11 yard pass from Philip Rivers (Chase McLaughlin kick),24,17
