,Quarter,Tm,Detail,BAL,MIA
0,1.0,Dolphins,David Woodley 1 yard rush (Uwe von Schamann kick),0,7
1,1.0,Dolphins,Bruce Hardy 4 yard pass from David Woodley (Uwe von Schamann kick),0,14
2,2.0,Colts,Ray Butler 53 yard pass from Mike Pagel (Mike Wood kick),7,14
3,2.0,Colts,Mike Wood 51 yard field goal,10,14
4,2.0,Colts,Barry Krauss 5 yard pass from Mike Wood (Mike Wood kick),17,14
5,3.0,Dolphins,Tommy Vigorito 33 yard rush (Uwe von Schamann kick),17,21
6,3.0,Dolphins,Uwe von Schamann 29 yard field goal,17,24
7,4.0,Colts,Mike Wood 48 yard field goal,20,24
