,Quarter,Time,Tm,Detail,IND,PHI
0,1.0,10:05,Eagles,David Akers 34 yard field goal,0,3
1,1.0,2:28,Colts,James Mungro 6 yard rush (Mike Vanderjagt kick),7,3
2,1.0,0:00,Colts,Marvin Harrison 57 yard pass from Peyton Manning (Mike Vanderjagt kick),14,3
3,2.0,3:38,Eagles,David Akers 20 yard field goal,14,6
4,3.0,10:22,Colts,Reggie Wayne 27 yard pass from Peyton Manning (Mike Vanderjagt kick),21,6
5,3.0,1:46,Colts,Marvin Harrison 43 yard pass from Peyton Manning (Mike Vanderjagt kick),28,6
6,4.0,6:29,Colts,James Mungro 10 yard rush (Mike Vanderjagt kick),35,6
7,4.0,3:35,Eagles,Jeff Thomason 2 yard pass from Donovan McNabb (David Akers kick),35,13
