,Quarter,Tm,Detail,GNB,PRV
0,1.0,Packers,Verne Lewellen 37 yard rush,6,0
1,3.0,Packers,Johnny Blood 29 yard pass from Red Dunn,12,0
2,4.0,Packers,Cully Lidberg 1 yard rush (Red Dunn kick),19,0
3,4.0,Packers,Johnny Blood 73 yard punt return,25,0
