,Quarter,Tm,Detail,CHI,RAM
0,1.0,Bears,Hugh Gallarneau 13 yard rush (Bob Snyder kick),7,0
1,2.0,Rams,Red Hickey 17 yard pass from Parker Hall (Chet Adams kick),7,7
2,2.0,Bears,George McAfee 97 yard kickoff return (Bob Snyder kick),14,7
3,2.0,Bears,Ken Kavanaugh 48 yard pass from Young Bussey (Dick Plasman kick),21,7
4,2.0,Bears,Ray McLean 18 yard pass from Young Bussey (Dick Plasman kick),28,7
5,2.0,Bears,Gary Famiglietti 2 yard rush (Dick Plasman kick),35,7
6,3.0,Bears,Hugh Gallarneau 13 yard pass from Sid Luckman (Dick Plasman kick),42,7
7,3.0,Rams,Johnny Drake 1 yard rush (Chet Adams kick),42,14
8,4.0,Rams,Elwyn Dunstan 35 yard blocked punt return (Chet Adams kick),42,21
9,4.0,Bears,John Siegal 65 yard pass from Sid Luckman,48,21
