,Quarter,Time,Tm,Detail,NYG,CLE
0,1.0,,Browns,Matt Stover 41 yard field goal,0,3
1,1.0,,Giants,Aaron Pierce 10 yard pass from Dave Brown (David Treadwell kick),7,3
2,2.0,,Browns,Matt Stover 23 yard field goal,7,6
3,3.0,,Giants,Brad Daluiso 25 yard field goal,10,6
4,4.0,,Giants,Brad Daluiso 30 yard field goal,13,6
5,4.0,,Browns,Leroy Hoard 5 yard rush (Matt Stover kick),13,13
6,4.0,,Giants,Brad Daluiso 33 yard field goal,16,13
