,Quarter,Time,Tm,Detail,IND,CHI
0,1.0,11:23,Colts,Jerrell Freeman 4 yard interception return (Adam Vinatieri kick),7,0
1,1.0,7:19,Bears,Michael Bush 1 yard rush (Robbie Gould kick),7,7
2,2.0,10:33,Bears,Brandon Marshall 3 yard pass from Jay Cutler (Robbie Gould kick),7,14
3,2.0,5:32,Bears,Robbie Gould 35 yard field goal,7,17
4,2.0,3:17,Colts,Donald Brown 18 yard rush (Adam Vinatieri kick),14,17
5,2.0,0:44,Bears,Michael Bush 1 yard rush (Robbie Gould kick),14,24
6,3.0,11:52,Bears,Matt Forte 6 yard rush (Robbie Gould kick),14,31
7,3.0,10:02,Bears,Robbie Gould 26 yard field goal,14,34
8,4.0,10:20,Colts,Donnie Avery 4 yard pass from Andrew Luck (Adam Vinatieri kick),21,34
9,4.0,6:08,Bears,Alshon Jeffery 42 yard pass from Jay Cutler (Robbie Gould kick),21,41
