,Quarter,Time,Tm,Detail,DAL,DEN
0,1.0,5:56,Cowboys,Nick Folk 49 yard field goal,3,0
1,1.0,0:43,Cowboys,Marion Barber III 1 yard rush (Nick Folk kick),10,0
2,2.0,10:04,Broncos,Knowshon Moreno 9 yard pass from Kyle Orton (Matt Prater kick),10,7
3,4.0,5:58,Broncos,Matt Prater 28 yard field goal,10,10
4,4.0,1:46,Broncos,Brandon Marshall 51 yard pass from Kyle Orton (Matt Prater kick),10,17
