,Quarter,Tm,Detail,STL,WAS
0,1.0,Redskins,Curt Knight 16 yard field goal,0,3
1,1.0,Redskins,Charlie Harraway 1 yard rush (Curt Knight kick),0,10
2,3.0,Redskins,Curt Knight 11 yard field goal,0,13
3,4.0,Redskins,Billy Kilmer 3 yard rush (Curt Knight kick),0,20
