,Quarter,Tm,Detail,CHI,BAL
0,1.0,Colts,Joe Perry 21 yard pass from Johnny Unitas (Steve Myhra kick),0,7
1,2.0,Colts,Lenny Moore 68 yard pass from Johnny Unitas (Steve Myhra kick),0,14
2,2.0,Bears,Mike Ditka 19 yard pass from Billy Wade (Roger LeClerc kick),7,14
3,3.0,Colts,Alex Hawkins 1 yard rush,7,20
4,3.0,Bears,Johnny Morris 41 yard pass from Billy Wade (Roger LeClerc kick),14,20
5,4.0,Bears,Rick Casares 5 yard rush (Roger LeClerc kick),21,20
