,Quarter,Tm,Detail,MIA,NYJ
0,2.0,Jets,Scott Dierking 1 yard rush (Pat Leahy kick),0,7
1,2.0,Jets,Richard Todd 16 yard rush (Pat Leahy kick),0,14
2,4.0,Jets,Pat Leahy 48 yard field goal,0,17
3,4.0,Dolphins,Tony Nathan 11 yard pass from David Woodley (Uwe von Schamann kick),7,17
4,4.0,Dolphins,Tony Nathan 1 yard rush (Uwe von Schamann kick),14,17
