,Quarter,Time,Tm,Detail,MIA,PIT
0,2.0,14:14,Steelers,Nate Washington 27 yard pass from Charlie Batch (Jeff Reed kick),0,7
1,2.0,5:14,Dolphins,Ronnie Brown 2 yard rush (Olindo Mare kick),7,7
2,2.0,1:49,Steelers,Hines Ward 7 yard pass from Charlie Batch (Jeff Reed kick),7,14
3,2.0,0:32,Dolphins,Olindo Mare 26 yard field goal,10,14
4,3.0,6:11,Dolphins,Ronnie Brown 5 yard rush (Olindo Mare kick),17,14
5,4.0,6:11,Steelers,Heath Miller 87 yard pass from Charlie Batch (Jeff Reed kick),17,21
6,4.0,2:59,Steelers,Joey Porter 42 yard interception return (Jeff Reed kick),17,28
