,Quarter,Tm,Detail,GNB,WAS
0,1.0,Redskins,Frank Filchock 10 yard rush (Joe Aguirre kick),0,7
1,1.0,Redskins,Bob Masterson 28 yard field goal,0,10
2,2.0,Redskins,Bob Seymour 41 yard pass from Sammy Baugh (Ki Aldrich kick),0,17
3,3.0,Packers,Don Hutson 8 yard pass from Cecil Isbell,6,17
4,3.0,Packers,Don Hutson 3 yard pass from Cecil Isbell (Don Hutson kick),13,17
5,4.0,Packers,Don Hutson 40 yard pass from Cecil Isbell (Don Hutson kick),20,17
6,4.0,Packers,"Safety, R. Hare tackled in end zone",22,17
