,Quarter,Time,Tm,Detail,CLE,CHI
0,1,14:05,Browns,Courtney Brown 25 yard defensive fumble return (Phil Dawson kick),7,0
1,2,0:20,Bears,Anthony Thomas 2 yard rush (Paul Edinger kick),7,7
2,3,10:25,Browns,Mike Sellers 3 yard pass from Tim Couch (Phil Dawson kick),14,7
3,3,3:08,Browns,Kevin Johnson 55 yard pass from Tim Couch (Phil Dawson kick),21,7
4,4,0:28,Bears,Marty Booker 9 yard pass from Shane Matthews (Paul Edinger kick),21,14
5,4,0:00,Bears,James Allen 34 yard pass from Shane Matthews (Paul Edinger kick),21,21
6,OT,12:10,Bears,Mike Brown 16 yard interception return,21,27
