,Quarter,Tm,Detail,PHI,WAS
0,1.0,Redskins,Jean Fugett 15 yard pass from Joe Theismann (Mark Moseley kick),0,7
1,1.0,Redskins,Jean Fugett 15 yard pass from Joe Theismann (Mark Moseley kick),0,14
2,1.0,Eagles,James Betterson 16 yard rush (Horst Muhlmann kick),7,14
3,2.0,Eagles,Horst Muhlmann 44 yard field goal,10,14
4,2.0,Redskins,Mark Moseley 46 yard field goal,10,17
5,2.0,Redskins,Mark Moseley 30 yard field goal,10,20
6,3.0,Redskins,Mark Moseley 51 yard field goal,10,23
7,4.0,Eagles,Harold Carmichael 48 yard pass from Ron Jaworski (Horst Muhlmann kick),17,23
