,Quarter,Tm,Detail,GNB,PRV
0,1.0,Packers,Lavvie Dilweg 43 yard pass from Paul Fitzgibbon (Paul Fitzgibbon kick),7,0
1,1.0,Packers,Johnny Blood 22 yard pass from Paul Fitzgibbon,13,0
2,2.0,Steam Roller,Lee Woodruff 2 yard rush (Deck Shelley kick),13,7
3,2.0,Packers,Bo Molenda 3 yard rush,19,7
4,2.0,Packers,Johnny Blood 45 yard pass from Bo Molenda,25,7
5,2.0,Packers,Johnny Blood 20 yard pass from Bo Molenda (Bo Molenda kick),32,7
6,4.0,Packers,Bo Molenda 3 yard rush,38,7
