,Quarter,Tm,Detail,PIT,MIA
0,1.0,Dolphins,Sammie Smith 1 yard rush (Pete Stoyanovich kick),0,7
1,1.0,Dolphins,Mark Clayton 66 yard pass from Dan Marino (Pete Stoyanovich kick),0,14
2,2.0,Steelers,Merril Hoge 1 yard rush (Gary Anderson kick),7,14
3,2.0,Steelers,Dwayne Woodruff 21 yard defensive fumble return (Gary Anderson kick),14,14
4,2.0,Steelers,Gary Anderson 27 yard field goal,17,14
5,3.0,Steelers,Merril Hoge 5 yard rush (Gary Anderson kick),24,14
6,3.0,Steelers,Gary Anderson 42 yard field goal,27,14
7,3.0,Steelers,Merril Hoge 1 yard rush (Gary Anderson kick),34,14
