,Quarter,Tm,Detail,RAM,MIN
0,1.0,Vikings,Bobby Bryant 90 yard blocked field goal return (Fred Cox kick),0,7
1,2.0,Vikings,Fred Cox 25 yard field goal,0,10
2,3.0,Vikings,Chuck Foreman 1 yard rush (Fred Cox kick),0,17
3,3.0,Rams,Lawrence McCutcheon 10 yard rush,6,17
4,3.0,Rams,Harold Jackson 5 yard pass from Pat Haden (Tom Dempsey kick),13,17
5,4.0,Vikings,Sammy Johnson 12 yard rush (Fred Cox kick),13,24
