,Quarter,Tm,Detail,SFO,STL
0,2.0,49ers,Ray Wersching 23 yard field goal,3,0
1,3.0,Cardinals,Wayne Morris 13 yard rush (Steve Little kick),3,7
2,4.0,49ers,Ken MacAfee 3 yard pass from Steve DeBerg (Ray Wersching kick),10,7
3,4.0,Cardinals,Ottis Anderson 6 yard rush,10,13
