,Quarter,Time,Tm,Detail,OAK,HOU
0,1.0,3:51,Raiders,Hunter Renfrow 65 yard pass from Derek Carr (Daniel Carlson kick),7,0
1,1.0,1:44,Texans,Duke Johnson 12 yard pass from Deshaun Watson (Ka'imi Fairbairn kick),7,7
2,2.0,9:43,Raiders,Darren Waller 8 yard pass from Derek Carr (Daniel Carlson kick),14,7
3,2.0,1:07,Texans,Ka'imi Fairbairn 33 yard field goal,14,10
4,3.0,10:33,Texans,Ka'imi Fairbairn 40 yard field goal,14,13
5,3.0,8:02,Raiders,Tyrell Williams 46 yard pass from Derek Carr (Daniel Carlson kick),21,13
6,4.0,15:00,Texans,Darren Fells 4 yard pass from Deshaun Watson (Ka'imi Fairbairn kick),21,20
7,4.0,10:52,Raiders,Daniel Carlson 44 yard field goal,24,20
8,4.0,6:34,Texans,Darren Fells 9 yard pass from Deshaun Watson (Ka'imi Fairbairn kick),24,27
