,Quarter,Time,Tm,Detail,NYJ,IND
0,1.0,10:46,Jets,John Hall 33 yard field goal,3,0
1,1.0,6:52,Jets,John Hall 30 yard field goal,6,0
2,1.0,0:32,Colts,Marcus Pollard 2 yard pass from Peyton Manning (Mike Vanderjagt kick),6,7
3,2.0,0:01,Colts,Mike Vanderjagt 22 yard field goal,6,10
4,4.0,9:00,Colts,Mike Vanderjagt 37 yard field goal,6,13
