,Quarter,Tm,Detail,PHI,STL
0,1.0,Eagles,Billy Ray Barnes 59 yard pass from Sonny Jurgensen (Bobby Walston kick),7,0
1,2.0,Eagles,Bobby Walston 19 yard field goal,10,0
2,2.0,Eagles,Bobby Walston 42 yard field goal,13,0
3,3.0,Cardinals,Bobby Joe Conrad 73 yard punt return (Gerry Perry kick),13,7
4,3.0,Eagles,Tommy McDonald 14 yard pass from Sonny Jurgensen (Bobby Walston kick),20,7
