,Quarter,Tm,Detail,BAL,RAM
0,1.0,Rams,Bruce Gossett 47 yard field goal,0,3
1,1.0,Colts,Willie Richardson 12 yard pass from Johnny Unitas (Lou Michaels kick),7,3
2,2.0,Rams,Jack Snow 80 yard pass from Roman Gabriel (Bruce Gossett kick),7,10
3,2.0,Rams,Bernie Casey 23 yard pass from Roman Gabriel (Bruce Gossett kick),7,17
4,3.0,Rams,Bruce Gossett 23 yard field goal,7,20
5,4.0,Colts,Lou Michaels 14 yard field goal,10,20
6,4.0,Rams,Billy Truax 9 yard pass from Roman Gabriel (Bruce Gossett kick),10,27
7,4.0,Rams,Dick Bass 2 yard rush (Bruce Gossett kick),10,34
