,Quarter,Tm,Detail,MIN,DET
0,1.0,Vikings,Rich Karlis 40 yard field goal,3,0
1,2.0,Vikings,Rich Karlis 40 yard field goal,6,0
2,2.0,Vikings,Herschel Walker 1 yard rush (Rich Karlis kick),13,0
3,3.0,Vikings,Alfred Anderson 4 yard rush (Rich Karlis kick),20,0
4,4.0,Lions,Rodney Peete 2 yard rush (Eddie Murray kick),20,7
