,Quarter,Tm,Detail,BAL,MIN
0,1.0,Vikings,Tommy Mason 52 yard rush (Fred Cox kick),0,7
1,1.0,Vikings,Fred Cox 11 yard field goal,0,10
2,1.0,Vikings,Fred Cox 39 yard field goal,0,13
3,2.0,Vikings,Fred Cox 41 yard field goal,0,16
4,2.0,Colts,John Mackey 83 yard pass from Johnny Unitas (Lou Michaels kick),7,16
5,2.0,Colts,Lou Michaels 44 yard field goal,10,16
6,3.0,Colts,Raymond Berry 40 yard pass from Johnny Unitas (Lou Michaels kick),17,16
7,3.0,Colts,John Mackey 26 yard pass from Johnny Unitas (Lou Michaels kick),24,16
8,4.0,Vikings,Bill Brown 27 yard rush (Fred Cox kick),24,23
9,4.0,Colts,Mike Curtis defensive fumble recovery in end zone (Lou Michaels kick),31,23
10,4.0,Colts,Tom Matte 4 yard pass from Johnny Unitas (Lou Michaels kick),38,23
