,Quarter,Tm,Detail,BOS,CIN
0,1.0,Bengals,Paul Robinson 1 yard rush (Horst Muhlmann kick),0,7
1,1.0,Bengals,Chip Myers 56 yard pass from Virgil Carter (Horst Muhlmann kick),0,14
2,2.0,Bengals,Paul Robinson 23 yard pass from Sam Wyche (Horst Muhlmann kick),0,21
3,2.0,Bengals,Sam Wyche 8 yard rush (Horst Muhlmann kick),0,28
4,2.0,Bengals,Horst Muhlmann 37 yard field goal,0,31
5,2.0,Bengals,Paul Robinson 3 yard rush (Horst Muhlmann kick),0,38
6,3.0,Bengals,Speedy Thomas 19 yard pass from Sam Wyche (Horst Muhlmann kick),0,45
7,4.0,Patriots,Ron Sellers 12 yard pass from Joe Kapp (Gino Cappelletti kick),7,45
